MEMBER_NO,L,R,F,M,C,D
‘00000001,2923,198,3,0.383590836,0.658302611,低级别
‘00000007,1069,535,2,0.456932153,0.475,低级别
‘00000009,579,177,6,0.69252557,0.750306845,低级别
‘00000014,1874,448,13,1.243722707,1.328538937,低级别
‘00000015,1803,308,3,0.551124003,0.666666667,低级别
‘00000018,1447,667,3,0.978832585,0.874278384,低级别
‘00000019,1412,695,2,0.603208556,0.6,低级别
‘00000022,2225,385,7,0.438411791,0.478391487,低级别
‘00000024,796,487,2,0.737563452,0.732385787,低级别
‘00000025,2986,138,2,0.346035015,0.693618263,低级别
‘00000026,1645,632,4,0.48219629,0.536856673,低级别
‘00000029,1603,160,3,0.394871795,0.418540171,低级别
‘00000040,1561,592,2,0.647908467,0.799184652,低级别
‘00000042,1555,395,2,0.76904474,0.8,低级别
‘00000047,1541,207,2,0.615668203,0.711809524,低级别
‘00000051,1534,252,7,0.672883253,0.678080318,低级别
‘00000053,1499,70,2,0.150194828,0.53,低级别
‘00000059,1457,202,12,0.72527004,0.811886489,低级别
‘00000060,1408,415,3,0.792500794,0.768398475,低级别
‘00000066,1352,89,5,0.658837857,0.66664579,低级别
‘00000069,1345,331,2,0.286430362,0.55,低级别
‘00000073,1325,511,2,0.648195221,0.75,低级别
‘00000074,1317,271,5,0.463456578,0.50683577,低级别
‘00000083,1250,543,2,0.574890609,0.7,低级别
‘00000084,1247,191,15,0.604041507,0.688834881,低级别
‘00000086,1247,139,3,0.701231739,0.648215411,低级别
‘00000088,1230,347,3,1.621052632,0.933333333,低级别
‘00000093,1229,243,3,0.489534597,0.703878355,低级别
‘00000102,1231,467,3,0.64893617,0.677446809,低级别
‘00000103,1231,522,3,0.567819754,0.577378243,低级别
‘00000104,1229,317,2,0.691408236,0.8,低级别
‘00000105,1229,193,2,0.598733448,0.564818653,低级别
‘00000107,1223,304,4,0.386957416,0.603602139,低级别
‘00000109,1231,550,2,0.51242236,0.551242236,低级别
‘00000118,1223,290,2,0.774576775,0.873566974,低级别
‘00000120,1219,614,3,0.924380704,0.872099087,低级别
‘00000124,1198,180,3,0.730646022,0.8647811,低级别
‘00000127,1219,559,3,0.723076923,0.7,低级别
‘00000128,1219,50,2,0.60688493,0.72,低级别
